station_code,station_name,lat,lon
XX-BECE,XX-BECE,,
XX-BSPY,XX-BSPY,,
YY-BPLC,YY-BPLC,,
BJUP,BJUP,,
CIKA,CIKA,,
XX-CPHO,XX-CPHO,,
LLHW,LLHW,,
YY-BINP,YY-BINP,,
XX-JSGB,XX-JSGB,,
SREE,SREE,,
DKJC,DKJC,,
TSKG,TINSUKIA GOODS,,
YY-IDHW,YY-IDHW,,
BVAC,BVAC,,
BVBC,BVBC,,
PCLS,PCLS,,
VMC,VMC,,
BDX,BDX,,
JMSY,JMSY,,
OSHI,OSHI,,
KTTY,KTTY,,
IGPX,IGPX,,
OKAC,OKAC,,
AAV,Ambav,,
DBLG,DBLG,,
NHLG,NHLG,,
JGLP,JGLP,,
PNSR,PNSR,,
ENBG,ENBG,,
NHGJ,NHGJ,,
LNMA,LNMA,,
PNS,PILLAMSHAT,,
IPRA,IPRA,,
CPMR,CPMR,,
XX-CLDO,XX-CLDO,,
DDYX,DDYX,,
XX-SUNB,XX-SUNB,,
MNVL,MNVL,,
KGWD,KAGWAD,,
CRWL,CHAK RAKHWAL,,
DIWR,DIWR,,
CUKI,CUKI,,
XX-BDXO,XX-BDXO,,
HLG,Hillgrove,,
SPBK,SPBK,,
DDAC,DDAC,,
XX-ANK,XX-ANK,,
HALT,HALT,,
XX-GTLB,XX-GTLB,,
XX-TNGC,XX-TNGC,,
XX-HPTB,XX-HPTB,,
INDRG,INDRG,,
GNSYM,GNSYM,,
SMYD,SMYD,,
XX-TNAB,XX-TNAB,,
DNGD,Dungarda,,
PHVP,PHVP,,
CNP,CNP,,
XX-BSBC,XX-BSBC,,
YY-DKJC,YY-DKJC,,
PFMA,PFMA,,
ARVI,Arvi,,
ARX,Areli,,
ASM,Asarma,,
ATB,Alattambadi,,
ATDA,Atladara,,
ATX,Alinagar Tola,,
AYI,Ayingudi,,
AKL,Anakhol,,
BASA,Banosa,,
BATS,Bhatsar,,
BCF,Bankapasi,,
BCHR,Bachar,,
BCM,Buranpudi,,
BDKE,Bhadsivni,,
BDRN,Bhadran,,
BF,Bagetar,,
BGR,Bhagdara,,
XX-MEJB,XX-MEJB,,
BHHT,Barhara,,
XX-KJMB,XX-KJMB,,
BHOJ,Bhoj Padra,,
BHRD,Baghara Road,,
DDBC,DDBC,,
BHWR,Bhitiharwa Ashram,,
BMDI,Brahmanwada,,
BOTR,Bhavdhari,,
BOX,Bhojasar,,
BPAH,Benipur Halt,,
BRPM,Baripur Mandala,,
BRTL,Bharthali,,
KNDV,KNDV,,
CDLD,Chandlodiya,,
CDMA,Chandeshwarsthan,,
CIO,Chikhli Road,,
CKNA,Chikna,,
YY-MMRX,YY-MMRX,,
BSLX,BSLX,,
DMJ,Dharmaj,,
DOLK,Dholikua,,
DSNB,Darsana Border,,
DURP,Durgapuri,,
DWM,Darwha Moti Bagh Junction,,
ER08,Kalinagar,,
GALG,GoldingGanj,,
GNPT,Ganpatpura,,
MGSO,MGSO,,
DLWS,DLWS,,
GOV,Govindpuri,,
GPLG,Gopalpurgram,,
GQD,Gourdaha Halt,,
PHLG,PHLG,,
H,Venkatagiri Kote Halt,,
MRLA,MARIYAL GANGAVA,,
HJO,Harangajao,,
HRD,Harsud,,
HSWS,Hansiawas,,
INDR,Indira Nagar,,
JJPR,Jhanjharpur Bazar Halt,,
PBS,Purab Sarai,,
JMB,Jambusar Junction,,
JMBC,Jambusar City,,
