Train_ID,Train_Type,Current_Position,Delay_Min,Buffer_Min,Track_Availability,Stopping_Pattern,Section_Type,Speed_Limit,Decision,Hold_Station,Hold_Time,Reroute_Path,Additional_Time,Reason
T0001,Express,Section_19,58,32,Occupied,All Stops,Double-line,110,Reroute Train T0001,,,Section_16 → Section_50 → Station_20,8.0,Accident
T0002,Passenger,Section_12,74,44,Free,All Stops,Single-line,90,Hold Train T0002,Station_44,9.0,,,
T0003,Passenger,Station_49,29,2,Free,All Stops,Double-line,80,Hold Train T0003,Station_9,11.0,,,
T0004,Freight,Section_34,28,37,Occupied,Skip,Single-line,80,Reroute Train T0004,,,Station_14 → Station_20 → Station_15,40.0,Weather
T0005,Express,Section_1,117,52,Free,Skip,Single-line,110,Reroute Train T0005,,,Station_7 → Section_42 → Section_24,40.0,Congestion
T0006,Express,Station_19,15,2,Free,Skip,Single-line,80,Allow Train T0006 to go first,,,,,
T0007,Express,Station_3,8,44,Occupied,All Stops,Double-line,100,Allow Train T0007 to go first,,,,,
T0008,Express,Station_4,65,53,Occupied,All Stops,Single-line,60,Reroute Train T0008,,,Station_11 → Station_38 → Station_25,28.0,Weather
T0009,Express,Station_37,7,58,Free,All Stops,Double-line,120,Allow Train T0009 to go first,,,,,
T0010,Freight,Station_11,75,32,Free,All Stops,Double-line,100,Reroute Train T0010,,,Section_33 → Station_18 → Station_25,25.0,Accident
T0011,Passenger,Section_26,40,53,Free,Skip,Single-line,80,Reroute Train T0011,,,Section_49 → Station_3 → Section_9,30.0,Congestion
T0012,Express,Station_48,104,52,Occupied,All Stops,Double-line,100,Allow Train T0012 to go first,,,,,
T0013,Passenger,Station_3,115,44,Free,All Stops,Double-line,120,Hold Train T0013,Station_28,13.0,,,
T0014,Express,Station_10,1,57,Occupied,All Stops,Double-line,60,Reroute Train T0014,,,Station_12 → Section_41 → Station_29,23.0,Maintenance
T0015,Passenger,Section_20,41,6,Occupied,All Stops,Double-line,60,Reroute Train T0015,,,Section_29 → Station_2 → Station_48,40.0,Congestion
